[2025-11-28 13:45:09] [INFO    ] discord.client: logging in using static token
[2025-11-28 13:45:09] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-11-28 13:45:09] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-11-28 13:45:09] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1443306244474667008', 'username': 'Timothy Bot', 'avatar': None, 'discriminator': '1010', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': True, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-11-28 13:45:11] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-11-28 13:45:11] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-11-28 13:45:11] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1443306244474667008', 'name': 'Timothy', 'icon': None, 'description': 'Discord Bot Test', 'type': None, 'bot': {'id': '1443306244474667008', 'username': 'Timothy Bot', 'avatar': None, 'discriminator': '1010', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '17ea0cf90b01bd6a42c59b4780f554f332374e84aa49d1150a6670f8f8e7ad16', 'flags': 557056, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '348635438367375360', 'username': 'cloremon', 'avatar': '5987c95ba9abe057a225da9be25f82e1', 'discriminator': '0', 'public_flags': 256, 'flags': 256, 'banner': None, 'accent_color': 7776696, 'global_name': 'Clore', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#76a9b8', 'clan': {'identity_guild_id': '1369311130513834174', 'identity_enabled': True, 'tag': 'ฅᨐฅ', 'badge': 'e701df75ce906698f0d02ce19bf7c8c6'}, 'primary_guild': {'identity_guild_id': '1369311130513834174', 'identity_enabled': True, 'tag': 'ฅᨐฅ', 'badge': 'e701df75ce906698f0d02ce19bf7c8c6'}}, 'approximate_guild_count': 1, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 2276, 'monetization_state': 1, 'verification_eligibility_flags': 123804, 'monetization_eligibility_flags': 247524, 'bot_approximate_guild_count': 1, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2025-11-28 13:45:11] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-11-28 13:45:11] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-b-m21h",{"micros":0.0}]']}}
[2025-11-28 13:45:11] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-11-28 13:45:11] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-11-28 13:45:11] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'Timothy Bot', 'primary_guild': None, 'mfa_enabled': True, 'id': '1443306244474667008', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '1010', 'clan': None, 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': '72bbcb450754d9e5c6ed0c7410c5085c', 'resume_gateway_url': 'wss://gateway-us-east1-b.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1443290170316292259'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['santa-clara', 'us-west', 'oregon', 'seattle', 'us-south'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1443306244474667008', 'flags': 557056}, '_trace': ['["gateway-prd-arm-us-east1-b-m21h",{"micros":347309,"calls":["id_created",{"micros":571,"calls":[]},"session_lookup_time",{"micros":482,"calls":[]},"session_lookup_finished",{"micros":13,"calls":[]},"discord-sessions-prd-2-16",{"micros":345908,"calls":["start_session",{"micros":306858,"calls":["discord-api-rpc-55ddb4c47b-ptfn8",{"micros":224118,"calls":["get_user",{"micros":58779},"get_guilds",{"micros":27688},"send_scheduled_deletion_message",{"micros":11},"guild_join_requests",{"micros":2},"authorized_ip_coro",{"micros":9},"pending_payments",{"micros":40618},"apex_experiments",{"micros":4137},"user_activities",{"micros":5},"played_application_ids",{"micros":2},"linked_users",{"micros":2}]}]},"starting_guild_connect",{"micros":42,"calls":[]},"presence_started",{"micros":17047,"calls":[]},"guilds_started",{"micros":131,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":21800,"calls":[]},"connect_finished",{"micros":21814,"calls":[]},"build_ready",{"micros":13,"calls":[]},"clean_ready",{"micros":0,"calls":[]},"optimize_ready",{"micros":1,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2025-11-28 13:45:11] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-11-28 13:45:11] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 72bbcb450754d9e5c6ed0c7410c5085c).
[2025-11-28 13:45:11] [DEBUG   ] discord.client: Dispatching event connect
